#Merge pull request #2 from Swarsel/swarsel/labeling_bisection#conflictsImplement Bisection of search space; First step to Better labeling; Globalization of r,H,M,o
runtime,instructions,cycles,branches,branch-misses,L1-dcache-load-misses
15.301358320,233932802955,71781001375,48417438258,601179615,198350
15.254776870,233932806376,71571054928,48417438511,601297908,189726
15.247306923,233932806391,71530353585,48417438526,602085401,247291
15.291194856,233932806416,71734156022,48417438551,602282463,240325
15.392006602,233932802985,71925620859,48417438288,602499820,278785
