#Add all measured runtimes for old commits
runtime,instructions,cycles,branches,branch-misses,L1-dcache-load-misses
15.238002337,233932802953,71482400312,48417438256,600955563,236203
15.248384795,233932806383,71536236421,48417438518,600991535,248978
15.240026644,233932802938,71498485115,48417438241,601411674,194952
15.254495850,233932802943,71567835621,48417438246,601123778,220906
15.266696177,233932806380,71627319792,48417438515,600780904,195373
