#Added Measured Runtimes
runtime,instructions,cycles,branches,branch-misses,L1-dcache-load-misses
0.693540116,9627129640,3381856635,2190987679,39564805,15195
0.692451707,9627129636,3377400367,2190987675,39539237,14309
0.692019474,9627129635,3380824540,2190987674,39563985,15033
0.693533518,9627129634,3380668281,2190987673,39682171,16265
0.691985837,9627129633,3380591293,2190987672,39626132,15301
