#Merge pull request #1 from Swarsel/RefactorMore descriptive names and commentary
runtime,instructions,cycles,branches,branch-misses,L1-dcache-load-misses
66.266843091,897786697177,310138969255,257052085848,2364777542,159236
66.534449530,897786697163,310799829613,257052085834,2366131688,158071
66.296562684,897786697166,310177183328,257052085837,2364007890,167235
66.339551107,897793136239,310089951758,257052581130,2365156008,206154
66.707154649,897793136342,309997829583,257052581233,2365640368,279695
