#revert output format change
runtime,instructions,cycles,branches,branch-misses,L1-dcache-load-misses
0.799488068,11625316796,3740452602,2516433681,40778509,20465
0.799831053,11625316790,3747439502,2516433675,40760139,17759
0.798389938,11625316792,3742928562,2516433677,40788951,18750
0.799273347,11625316792,3747932550,2516433677,40810542,19280
0.799322498,11625317336,3746635010,2516433717,40847945,19980
